,UnitID,Institution Name
555,433536,Herzing University-New Orleans
556,386472,Herzing University-Orlando
598,465812,Independence University
609,436614,International Baptist College and Seminary
624,445708,Johnson & Wales University-Charlotte
625,439288,Johnson & Wales University-Denver
626,414823,Johnson & Wales University-North Miami
628,198756,Johnson C Smith University
642,192165,Kehilath Yakov Rabbinical Seminary
643,135081,Keiser University-Ft Lauderdale
649,203544,Kettering College
652,213303,Keystone College
661,213376,Lackawanna College
663,140234,LaGrange College
674,220598,Lane College
685,166452,Lesley University
693,140252,Life University
698,117557,Lincoln University
705,198862,Livingstone College
708,192448,Long Island University
727,192624,Machzikei Hadath Rabbinical College
743,192785,Maria College of Albany
755,151810,Martin University
789,193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech
790,193052,Mesivta Torah Vodaath Rabbinical Seminary
791,193070,Mesivtha Tifereth Jerusalem of America
802,151962,Mid-America College of Funeral Service
822,193247,Mirrer Yeshiva Cent Institute
846,204176,Mount Carmel College of Nursing
871,163532,Ner Israel Rabbinical College
883,418126,New York College of Health Professions
895,167260,Nichols College
896,461795,North American University
963,140720,Paine College
986,440794,Pillar College
988,215415,Pittsburgh Technical College
994,456481,Polytechnic University of Puerto Rico-Miami
995,456490,Polytechnic University of Puerto Rico-Orlando
1015,384421,Rabbi Jacob Joseph School
1016,194657,Rabbinical Academy Mesivta Rabbi Chaim Berlin
1017,194693,Rabbinical College Beth Shraga
1018,194666,Rabbinical College Bobover Yeshiva Bnei Zion
1019,186186,Rabbinical College of America
1021,405854,Rabbinical College of Ohr Shimon Yisroel
1040,223463,Remington College-Dallas Campus
1041,377111,Remington College-Fort Worth Campus
1042,412599,Remington College-Memphis Campus
1043,366535,Remington College-Mobile Campus
1044,445203,Remington College-North Houston Campus
